Поезд/;Месяц операции;Станция отп.;Станция назн.;Тип/;Кол-во;Сумма по бил.;Сумма по плац.;Сервис;Итог;Расстояние
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Б ;1;1591.4;868.1;0;2459.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Б ;1;1591.4;868.1;0;2459.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Б ;1;1872.2;1021.3;163.4;3056.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1591.4;868.1;163.4;2622.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1591.4;868.1;163.4;2622.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1591.4;868.1;163.4;2622.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1591.4;868.1;163.4;2622.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1872.2;1021.3;163.4;3056.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1872.2;1021.3;163.4;3056.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1872.2;1021.3;163.4;3056.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1872.2;1021.3;163.4;3056.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1872.2;1021.3;163.4;3056.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1872.2;1021.3;163.4;3056.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1591.4;868.1;163.4;2622.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1872.2;1021.3;163.4;3056.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1872.2;1021.3;163.4;3056.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1872.2;1021.3;163.4;3056.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1591.4;868.1;163.4;2622.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1591.4;868.1;163.4;2622.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1591.4;868.1;163.4;2622.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1591.4;868.1;163.4;2622.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1872.2;1021.3;163.4;3056.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1591.4;868.1;163.4;2622.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1872.2;1021.3;163.4;3056.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1872.2;1021.3;163.4;3056.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1591.4;868.1;163.4;2622.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1872.2;1021.3;163.4;3056.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;Л/1Э ;1;5976.6;3984.4;1306;11267;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;Л/1Э ;1;6602.4;4401.6;1306;12310;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;Л/1Э ;1;5664;3776;1306;10746;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;Л/1Э ;1;6602.4;4401.6;1306;12310;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;Л/1Э ;1;6930.6;4620.4;1306;12857;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;Л/1Э ;1;6930.6;4620.4;1306;12857;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;2678.8;1785.8;164;4628.6;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;5586;3724;164;9474;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;2678.8;1785.8;164;4628.6;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;2678.8;1785.8;164;4628.6;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;2678.8;1785.8;164;4628.6;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;2678.8;1785.8;164;4628.6;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;2678.8;1785.8;164;4628.6;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;2;4284;2856;328;7468;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;6120;4080;164;10364;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;4464.6;2976.4;164;7605;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Б ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Б ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Б ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Б ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Б ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Б ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;Л/1Э ;1;5355;3570;1306;10231;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;628.2;342.6;156.7;1127.5;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Б ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Б ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Б ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Б ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Б ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Б ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1794.8;979.1;156.7;2930.6;1790
0306С/А ;10;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1794.8;979.1;156.7;2930.6;1790
