Поезд/;Месяц операции;Станция отп.;Станция назн.;Тип/;Кол-во;Сумма по бил.;Сумма по плац.;Сервис;Итог;Расстояние
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Б ;1;1832.6;999.6;188.2;3020.4;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;4997.2;3331.4;192;8520.6;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3232.9;1586.2;192;5011.1;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3244.3;1591.8;192;5028.1;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;4992.3;3328.2;192;8512.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3379.9;1658.3;192;5230.2;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3244.3;1591.8;192;5028.1;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3244.3;1591.8;192;5028.1;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;5753.2;3835.4;192;9780.6;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;2939;1442;192;4573;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3965.8;2643.8;192;6801.6;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;5051.2;3367.4;192;8610.6;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;5051.2;3367.4;192;8610.6;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;4992.3;3328.2;192;8512.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;4992.3;3328.2;192;8512.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;4992.3;3328.2;192;8512.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3540.8;1737.3;192;5470.1;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;4154.8;2769.8;192;7116.6;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3540.8;1737.3;192;5470.1;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3244.3;1591.8;192;5028.1;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3244.3;1591.8;192;5028.1;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3244.3;1591.8;192;5028.1;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;4992.3;3328.2;192;8512.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3965.8;2643.8;192;6801.6;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3604.8;1768.7;192;5565.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3604.8;1768.7;192;5565.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3604.8;1768.7;192;5565.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;4898.3;2403.4;192;7493.7;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3706.2;2470.8;192;6369;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3604.8;1768.7;192;5565.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;4898.3;2403.4;192;7493.7;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;5547;3698;192;9437;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;2;3883;2588.6;384;6855.6;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;2;2804.4;1647.5;384;4835.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;1941.5;1294.3;192;3427.8;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;1964.3;1309.6;192;3465.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;1878.5;921.6;192;2992.1;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;1878.5;921.6;192;2992.1;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;5552.4;3701.6;192;9446;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;4406.4;2937.6;192;7536;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;2883.9;1415;192;4490.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;2883.9;1415;192;4490.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;5552.4;3701.6;192;9446;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3604.8;1768.7;192;5565.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3604.8;1768.7;192;5565.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;4898.3;2403.4;192;7493.7;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3604.8;1768.7;192;5565.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3604.8;1768.7;192;5565.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3706.2;2470.8;192;6369;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;4406.4;2937.6;192;7536;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3604.8;1768.7;192;5565.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3604.8;1768.7;192;5565.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;5612.4;3741.6;192;9546;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;5612.4;3741.6;192;9546;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3604.8;1768.7;192;5565.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3604.8;1768.7;192;5565.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3604.8;1768.7;192;5565.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;2;11159.4;7439.6;384;18983;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;4675.7;2294.2;192;7161.9;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3604.8;1768.7;192;5565.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3604.8;1768.7;192;5565.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3604.8;1768.7;192;5565.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3604.8;1768.7;192;5565.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;3604.8;1768.7;192;5565.5;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;4616.4;3077.6;192;7886;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Б ;1;1832.6;999.6;188.2;3020.4;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1832.6;999.6;188.2;3020.4;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;754.6;411.5;188.2;1354.3;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1832.6;999.6;188.2;3020.4;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1832.6;999.6;188.2;3020.4;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;2155.9;1176;188.2;3520.1;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1832.6;999.6;188.2;3020.4;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1832.6;999.6;188.2;3020.4;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1832.6;999.6;188.2;3020.4;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1832.6;999.6;188.2;3020.4;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1832.6;999.6;188.2;3020.4;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1832.6;999.6;188.2;3020.4;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1832.6;999.6;188.2;3020.4;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;2155.9;1176;188.2;3520.1;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;2155.9;1176;188.2;3520.1;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1832.6;999.6;188.2;3020.4;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1832.6;999.6;188.2;3020.4;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1832.6;999.6;188.2;3020.4;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1832.6;999.6;188.2;3020.4;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1832.6;999.6;188.2;3020.4;1790
0306С/А ;1;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1832.6;999.6;188.2;3020.4;1790
